Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
art,beginner,flexible,phd,introvert,analytical,high,average,moderate,very high,technical writer
medicine,intermediate,remote,bachelors,introvert,practical,high,fluent,collaborative,exceptional,web developer
business,intermediate,solo,diploma,thinker,creative,high,average,collaborative,low,hardware engineer
science,intermediate,solo,masters,doer,creative,high,poor,collaborative,low,solutions architect
science,advanced,remote,masters,doer,logical,high,excellent,collaborative,very high,devops engineer
art,intermediate,office,high school,thinker,practical,very high,poor,strong,exceptional,mobile app developer
technology,advanced,solo,phd,leader,logical,medium,excellent,collaborative,very high,nlp engineer
science,advanced,team,high school,extrovert,practical,medium,poor,strong,high,database administrator
science,expert,solo,bachelors,introvert,analytical,low,poor,moderate,very high,embedded systems engineer
medicine,expert,solo,diploma,thinker,intuitive,high,fluent,collaborative,low,game developer
medicine,advanced,office,phd,leader,analytical,low,poor,collaborative,low,technical writer
medicine,advanced,team,diploma,introvert,creative,high,fluent,moderate,very high,database administrator
art,expert,solo,diploma,thinker,intuitive,low,poor,visionary,exceptional,blockchain developer
science,expert,office,masters,extrovert,logical,high,poor,collaborative,medium,nlp engineer
science,beginner,solo,high school,extrovert,logical,medium,fluent,strong,very high,research scientist
technology,beginner,flexible,masters,introvert,intuitive,medium,average,visionary,exceptional,iot specialist
science,expert,office,phd,extrovert,analytical,medium,outstanding,strong,medium,web developer
technology,advanced,solo,diploma,thinker,creative,high,outstanding,strong,medium,nlp engineer
medicine,beginner,office,bachelors,thinker,practical,very high,poor,collaborative,medium,ai researcher
business,expert,team,bachelors,doer,intuitive,low,average,strong,exceptional,cybersecurity analyst
medicine,advanced,office,phd,introvert,practical,medium,excellent,visionary,high,nlp engineer
business,advanced,remote,diploma,thinker,creative,medium,average,collaborative,low,network engineer
science,beginner,team,diploma,doer,practical,low,fluent,visionary,medium,nlp engineer
technology,expert,flexible,high school,doer,intuitive,medium,outstanding,moderate,high,financial analyst
art,beginner,office,phd,introvert,creative,low,excellent,visionary,very high,bioinformatics scientist
business,beginner,flexible,diploma,extrovert,intuitive,high,poor,collaborative,medium,blockchain developer
medicine,expert,team,masters,thinker,creative,medium,fluent,collaborative,low,blockchain developer
business,advanced,remote,bachelors,thinker,intuitive,high,excellent,strong,exceptional,speech recognition specialist
art,advanced,remote,masters,leader,creative,low,average,strong,low,cybersecurity analyst
art,beginner,solo,diploma,extrovert,logical,high,fluent,strong,high,data analyst
science,advanced,office,diploma,thinker,creative,high,poor,visionary,medium,devops engineer
technology,intermediate,flexible,phd,thinker,practical,high,excellent,collaborative,very high,nlp engineer
business,expert,team,diploma,leader,practical,medium,fluent,visionary,high,solutions architect
technology,advanced,office,masters,thinker,practical,high,fluent,collaborative,exceptional,full stack developer
art,intermediate,solo,phd,leader,practical,high,excellent,visionary,very high,embedded systems engineer
art,advanced,solo,high school,introvert,creative,very high,excellent,visionary,low,bioinformatics scientist
art,advanced,solo,bachelors,thinker,logical,very high,average,collaborative,very high,business analyst
medicine,beginner,team,bachelors,thinker,analytical,high,fluent,collaborative,medium,product manager
science,intermediate,solo,bachelors,doer,intuitive,high,excellent,strong,high,web developer
technology,beginner,remote,high school,leader,intuitive,low,average,moderate,medium,solutions architect
medicine,advanced,remote,masters,leader,practical,high,outstanding,collaborative,high,algorithm engineer
business,beginner,team,phd,extrovert,analytical,low,poor,strong,medium,nlp engineer
medicine,advanced,team,diploma,extrovert,logical,high,average,collaborative,exceptional,product manager
medicine,intermediate,remote,phd,introvert,creative,high,fluent,strong,very high,nlp engineer
business,advanced,remote,bachelors,introvert,practical,high,fluent,collaborative,very high,nlp engineer
medicine,advanced,office,high school,extrovert,analytical,medium,average,collaborative,medium,ml engineer
medicine,beginner,flexible,masters,leader,logical,low,excellent,visionary,exceptional,web developer
technology,advanced,office,phd,thinker,practical,high,poor,strong,low,computer vision engineer
science,intermediate,solo,diploma,introvert,analytical,medium,poor,moderate,medium,financial analyst
medicine,advanced,team,diploma,introvert,logical,medium,excellent,collaborative,very high,deep learning engineer
art,intermediate,remote,phd,extrovert,analytical,low,fluent,collaborative,low,research scientist
business,expert,solo,masters,doer,analytical,high,excellent,visionary,very high,iot specialist
science,advanced,team,phd,extrovert,logical,medium,excellent,moderate,medium,iot specialist
science,intermediate,solo,high school,introvert,creative,high,excellent,strong,low,product manager
science,advanced,team,masters,thinker,analytical,high,average,visionary,medium,iot specialist
technology,advanced,team,diploma,introvert,logical,high,poor,collaborative,medium,cloud architect
business,beginner,flexible,high school,doer,creative,high,excellent,strong,very high,data analyst
business,beginner,office,masters,leader,logical,low,outstanding,collaborative,high,hardware engineer
art,intermediate,team,high school,leader,logical,medium,poor,collaborative,high,network engineer
business,advanced,office,diploma,doer,logical,high,excellent,collaborative,low,web developer
technology,expert,flexible,masters,extrovert,intuitive,high,outstanding,moderate,exceptional,ai ethics researcher
medicine,advanced,remote,phd,extrovert,creative,high,poor,moderate,very high,qa engineer
science,beginner,solo,high school,extrovert,logical,medium,excellent,collaborative,high,game developer
art,beginner,remote,diploma,extrovert,analytical,medium,outstanding,collaborative,low,research scientist
technology,advanced,office,high school,introvert,logical,medium,outstanding,moderate,low,ml engineer
science,expert,flexible,high school,doer,practical,very high,poor,collaborative,high,blockchain developer
medicine,beginner,solo,high school,leader,logical,low,fluent,strong,low,blockchain developer
medicine,beginner,team,diploma,introvert,logical,low,average,strong,high,technical writer
medicine,expert,team,high school,introvert,creative,very high,fluent,collaborative,medium,full stack developer
medicine,expert,team,masters,doer,creative,high,outstanding,collaborative,very high,mobile app developer
art,advanced,solo,masters,thinker,practical,low,average,strong,exceptional,financial analyst
business,intermediate,remote,phd,thinker,analytical,medium,average,moderate,exceptional,mobile app developer
medicine,expert,flexible,high school,leader,analytical,high,average,moderate,low,business analyst
science,expert,team,high school,doer,creative,medium,average,collaborative,medium,speech recognition specialist
science,intermediate,remote,masters,doer,creative,high,fluent,strong,low,software engineer
technology,advanced,solo,phd,thinker,logical,low,average,collaborative,low,qa engineer
business,expert,remote,diploma,thinker,intuitive,very high,outstanding,strong,exceptional,computer vision engineer
technology,intermediate,remote,high school,thinker,intuitive,high,outstanding,collaborative,medium,hardware engineer
technology,advanced,remote,phd,leader,analytical,low,outstanding,visionary,exceptional,ui/ux designer
business,intermediate,office,masters,thinker,creative,low,excellent,visionary,low,cybersecurity analyst
business,advanced,solo,masters,doer,creative,high,outstanding,collaborative,high,computer vision engineer
art,advanced,team,masters,introvert,analytical,high,average,strong,medium,robotics engineer
science,advanced,flexible,masters,leader,intuitive,medium,poor,collaborative,very high,ml engineer
medicine,advanced,office,diploma,doer,creative,medium,excellent,visionary,very high,technical writer
medicine,expert,flexible,bachelors,thinker,creative,low,excellent,visionary,exceptional,data analyst
business,expert,office,bachelors,introvert,creative,high,fluent,collaborative,high,site reliability engineer
business,expert,remote,phd,extrovert,logical,low,poor,strong,high,ai ethics researcher
business,expert,solo,bachelors,thinker,logical,medium,average,visionary,very high,financial analyst
technology,advanced,solo,bachelors,introvert,practical,medium,excellent,strong,very high,financial analyst
business,intermediate,office,masters,thinker,intuitive,low,excellent,strong,very high,hardware engineer
science,intermediate,office,masters,extrovert,logical,very high,outstanding,collaborative,high,financial analyst
medicine,expert,remote,phd,doer,logical,very high,fluent,collaborative,low,blockchain developer
medicine,intermediate,team,bachelors,extrovert,analytical,low,excellent,collaborative,exceptional,technical writer
medicine,advanced,office,bachelors,thinker,practical,medium,outstanding,collaborative,low,software engineer
medicine,expert,team,bachelors,doer,analytical,medium,outstanding,visionary,very high,ai ethics researcher
science,expert,office,bachelors,extrovert,analytical,high,outstanding,visionary,exceptional,data analyst
business,expert,remote,masters,extrovert,intuitive,very high,average,strong,very high,speech recognition specialist
art,beginner,remote,bachelors,thinker,analytical,medium,outstanding,visionary,high,hardware engineer
technology,beginner,flexible,bachelors,leader,practical,high,poor,visionary,exceptional,data analyst
technology,advanced,team,phd,extrovert,logical,medium,excellent,collaborative,exceptional,iot specialist
science,expert,solo,high school,extrovert,intuitive,very high,poor,strong,high,technical writer
science,expert,solo,high school,thinker,practical,high,excellent,collaborative,very high,automation engineer
business,advanced,office,high school,thinker,creative,high,poor,collaborative,exceptional,web developer
technology,advanced,solo,phd,doer,practical,medium,outstanding,moderate,high,network engineer
business,intermediate,solo,bachelors,doer,practical,medium,fluent,visionary,exceptional,network engineer
business,advanced,team,bachelors,leader,practical,high,fluent,strong,very high,product manager
medicine,intermediate,remote,diploma,doer,practical,medium,fluent,collaborative,exceptional,robotics engineer
science,intermediate,office,high school,introvert,logical,high,poor,strong,low,speech recognition specialist
medicine,expert,flexible,masters,introvert,practical,high,fluent,visionary,high,data engineer
science,expert,remote,high school,thinker,practical,medium,average,collaborative,high,deep learning engineer
art,beginner,remote,masters,leader,practical,very high,outstanding,moderate,low,data scientist
business,advanced,office,bachelors,thinker,logical,very high,excellent,strong,low,ml engineer
medicine,beginner,remote,bachelors,doer,practical,very high,average,moderate,low,deep learning engineer
medicine,intermediate,solo,high school,extrovert,practical,high,excellent,collaborative,high,hardware engineer
technology,expert,team,phd,leader,logical,low,average,moderate,high,devops engineer
science,advanced,remote,phd,thinker,intuitive,very high,excellent,visionary,exceptional,game developer
technology,beginner,remote,diploma,thinker,logical,high,excellent,visionary,high,database administrator
technology,expert,solo,diploma,introvert,logical,very high,excellent,strong,very high,devops engineer
business,beginner,remote,bachelors,leader,analytical,high,average,visionary,low,cybersecurity analyst
medicine,intermediate,flexible,masters,introvert,creative,high,poor,strong,low,solutions architect
medicine,advanced,remote,bachelors,leader,analytical,high,excellent,collaborative,medium,ai researcher
art,expert,solo,phd,extrovert,logical,low,fluent,visionary,medium,cloud architect
business,advanced,remote,bachelors,introvert,practical,high,outstanding,moderate,very high,cloud architect
science,advanced,team,masters,extrovert,creative,high,outstanding,collaborative,very high,system architect
medicine,beginner,team,phd,extrovert,intuitive,low,poor,collaborative,medium,database administrator
science,intermediate,flexible,phd,extrovert,creative,very high,fluent,strong,very high,data analyst
art,beginner,office,masters,leader,practical,very high,fluent,collaborative,exceptional,site reliability engineer
medicine,beginner,remote,bachelors,introvert,creative,medium,outstanding,visionary,high,system architect
art,advanced,office,high school,doer,creative,high,poor,moderate,high,ml engineer
technology,expert,solo,masters,leader,logical,very high,average,visionary,very high,ai researcher
business,intermediate,office,diploma,leader,creative,low,outstanding,collaborative,very high,network engineer
business,expert,solo,high school,introvert,logical,medium,outstanding,moderate,low,ai ethics researcher
art,beginner,office,phd,leader,analytical,medium,fluent,collaborative,very high,iot specialist
technology,expert,solo,bachelors,doer,intuitive,high,poor,collaborative,medium,cybersecurity analyst
business,expert,solo,masters,extrovert,practical,medium,fluent,collaborative,low,embedded systems engineer
science,advanced,flexible,diploma,introvert,analytical,high,excellent,collaborative,very high,data analyst
medicine,beginner,solo,phd,extrovert,logical,high,poor,collaborative,medium,nlp engineer
medicine,expert,team,high school,leader,creative,very high,excellent,collaborative,very high,virtual reality developer
art,beginner,team,high school,introvert,intuitive,low,poor,moderate,very high,game developer
business,advanced,flexible,high school,introvert,analytical,very high,excellent,collaborative,very high,embedded systems engineer
art,advanced,remote,diploma,doer,logical,high,excellent,visionary,very high,web developer
medicine,beginner,flexible,phd,leader,practical,high,fluent,visionary,high,speech recognition specialist
medicine,intermediate,flexible,phd,thinker,creative,high,poor,visionary,exceptional,ml engineer
medicine,intermediate,solo,diploma,extrovert,creative,medium,average,visionary,medium,site reliability engineer
business,expert,office,diploma,thinker,analytical,high,excellent,collaborative,high,qa engineer
technology,expert,team,high school,leader,logical,low,excellent,collaborative,medium,blockchain developer
art,beginner,solo,bachelors,leader,creative,high,outstanding,collaborative,exceptional,web developer
business,advanced,solo,high school,thinker,analytical,low,excellent,visionary,low,business analyst
medicine,expert,office,phd,extrovert,intuitive,very high,excellent,collaborative,low,product manager
science,advanced,solo,high school,extrovert,logical,very high,fluent,collaborative,high,data analyst
art,advanced,office,diploma,extrovert,intuitive,medium,outstanding,collaborative,medium,data scientist
medicine,intermediate,office,phd,introvert,analytical,high,fluent,moderate,medium,data scientist
medicine,advanced,office,masters,leader,practical,high,excellent,collaborative,exceptional,system architect
business,advanced,solo,masters,leader,intuitive,high,outstanding,strong,exceptional,ml engineer
art,advanced,remote,masters,extrovert,analytical,very high,average,moderate,low,cloud architect
art,expert,team,masters,thinker,analytical,low,excellent,collaborative,medium,blockchain developer
business,expert,remote,high school,doer,creative,low,average,collaborative,exceptional,hardware engineer
art,advanced,team,masters,introvert,practical,medium,fluent,strong,medium,cloud architect
art,intermediate,solo,high school,thinker,logical,high,average,collaborative,medium,cybersecurity analyst
technology,expert,office,bachelors,doer,intuitive,very high,excellent,collaborative,high,algorithm engineer
medicine,beginner,remote,diploma,extrovert,analytical,medium,outstanding,visionary,high,research scientist
science,advanced,solo,phd,extrovert,intuitive,low,excellent,collaborative,high,computer vision engineer
art,beginner,solo,high school,doer,practical,high,excellent,strong,very high,system architect
business,advanced,office,phd,doer,analytical,high,poor,collaborative,very high,data analyst
science,advanced,flexible,high school,extrovert,practical,very high,poor,collaborative,very high,data engineer
science,expert,team,diploma,leader,intuitive,high,average,collaborative,very high,devops engineer
science,advanced,office,high school,extrovert,intuitive,very high,fluent,collaborative,very high,embedded systems engineer
medicine,intermediate,remote,diploma,introvert,practical,high,outstanding,moderate,very high,blockchain developer
science,intermediate,solo,bachelors,extrovert,intuitive,very high,poor,strong,very high,database administrator
business,expert,solo,high school,introvert,logical,low,average,strong,medium,blockchain developer
technology,expert,solo,diploma,thinker,logical,high,outstanding,collaborative,low,site reliability engineer
technology,advanced,solo,masters,thinker,practical,low,excellent,collaborative,medium,full stack developer
medicine,beginner,office,bachelors,thinker,analytical,very high,average,visionary,very high,ai ethics researcher
science,expert,remote,bachelors,extrovert,practical,high,poor,collaborative,very high,hardware engineer
art,expert,team,diploma,doer,practical,low,excellent,visionary,low,cloud architect
science,beginner,office,masters,introvert,logical,high,average,moderate,high,embedded systems engineer
technology,beginner,remote,masters,introvert,analytical,high,average,strong,very high,mobile app developer
art,advanced,team,high school,leader,logical,very high,outstanding,visionary,low,software engineer
science,beginner,office,bachelors,introvert,logical,high,outstanding,collaborative,low,research scientist
technology,beginner,office,high school,introvert,intuitive,high,fluent,collaborative,medium,technical writer
art,advanced,team,masters,leader,practical,low,fluent,collaborative,low,augmented reality developer
medicine,intermediate,flexible,phd,leader,logical,very high,outstanding,collaborative,low,ui/ux designer
art,expert,office,diploma,extrovert,analytical,high,poor,strong,exceptional,mobile app developer
business,intermediate,solo,high school,thinker,analytical,low,fluent,moderate,high,network engineer
art,advanced,flexible,diploma,introvert,creative,low,poor,visionary,exceptional,blockchain developer
medicine,intermediate,flexible,masters,introvert,logical,low,excellent,collaborative,low,virtual reality developer
medicine,beginner,remote,diploma,doer,analytical,low,excellent,visionary,high,mobile app developer
technology,expert,flexible,masters,thinker,creative,medium,average,visionary,very high,site reliability engineer
business,advanced,solo,bachelors,doer,analytical,very high,fluent,collaborative,very high,web developer
technology,expert,flexible,diploma,introvert,practical,high,excellent,visionary,very high,data analyst
art,intermediate,remote,high school,introvert,intuitive,very high,average,collaborative,very high,blockchain developer
business,advanced,flexible,high school,introvert,logical,low,poor,strong,low,full stack developer
business,beginner,office,bachelors,introvert,creative,high,excellent,visionary,very high,financial analyst
business,beginner,flexible,bachelors,doer,analytical,very high,excellent,collaborative,very high,iot specialist
art,advanced,remote,phd,doer,logical,medium,poor,collaborative,medium,nlp engineer
business,advanced,flexible,masters,doer,practical,high,outstanding,collaborative,medium,business analyst
medicine,expert,solo,diploma,doer,analytical,high,excellent,strong,low,robotics engineer
art,beginner,remote,phd,doer,practical,high,outstanding,moderate,medium,business analyst
business,expert,team,masters,extrovert,practical,high,fluent,collaborative,high,robotics engineer
medicine,advanced,remote,masters,leader,practical,high,fluent,collaborative,medium,automation engineer
medicine,intermediate,team,bachelors,introvert,logical,low,average,collaborative,exceptional,devops engineer
science,beginner,office,high school,extrovert,analytical,high,average,visionary,low,ui/ux designer
business,beginner,flexible,masters,thinker,practical,very high,outstanding,visionary,very high,mobile app developer
art,advanced,flexible,high school,thinker,practical,high,poor,visionary,very high,ai ethics researcher
art,beginner,office,masters,leader,logical,high,average,collaborative,low,database administrator
business,intermediate,flexible,high school,doer,practical,medium,poor,visionary,high,ai researcher
medicine,advanced,team,phd,extrovert,logical,very high,fluent,moderate,exceptional,system architect
medicine,expert,office,diploma,extrovert,creative,medium,excellent,strong,low,bioinformatics scientist
technology,advanced,team,diploma,introvert,logical,low,average,strong,very high,ai researcher
business,advanced,team,masters,doer,analytical,medium,excellent,collaborative,low,qa engineer
business,advanced,solo,phd,doer,intuitive,low,fluent,collaborative,high,game developer
art,advanced,office,masters,leader,creative,low,outstanding,strong,high,bioinformatics scientist
medicine,expert,office,masters,doer,intuitive,medium,excellent,visionary,very high,augmented reality developer
medicine,advanced,remote,high school,introvert,practical,very high,poor,collaborative,low,research scientist
art,advanced,flexible,bachelors,introvert,analytical,very high,outstanding,collaborative,exceptional,research scientist
medicine,advanced,team,masters,extrovert,analytical,very high,fluent,visionary,high,system architect
business,expert,office,bachelors,introvert,intuitive,high,poor,visionary,exceptional,database administrator
art,advanced,team,masters,doer,logical,very high,average,moderate,low,data analyst
science,advanced,flexible,bachelors,extrovert,analytical,medium,outstanding,strong,very high,data scientist
medicine,beginner,solo,diploma,thinker,analytical,high,excellent,collaborative,medium,solutions architect
art,expert,remote,bachelors,introvert,analytical,very high,fluent,visionary,very high,cybersecurity analyst
art,expert,flexible,bachelors,introvert,logical,low,excellent,collaborative,low,devops engineer
art,advanced,flexible,masters,introvert,practical,high,excellent,visionary,very high,augmented reality developer
business,advanced,office,masters,leader,creative,low,excellent,collaborative,very high,full stack developer
medicine,advanced,solo,masters,doer,analytical,high,average,moderate,exceptional,database administrator
art,advanced,solo,phd,leader,intuitive,low,excellent,moderate,low,data analyst
medicine,beginner,team,high school,doer,creative,high,outstanding,visionary,medium,hardware engineer
science,beginner,team,masters,leader,practical,high,excellent,moderate,low,system architect
technology,intermediate,remote,phd,extrovert,practical,medium,average,collaborative,exceptional,game developer
science,advanced,remote,high school,leader,logical,low,fluent,moderate,low,data scientist
medicine,advanced,solo,diploma,introvert,intuitive,high,outstanding,collaborative,exceptional,data engineer
technology,beginner,solo,bachelors,introvert,logical,medium,fluent,moderate,low,deep learning engineer
technology,expert,solo,diploma,leader,intuitive,very high,poor,strong,low,hardware engineer
technology,beginner,office,phd,extrovert,intuitive,very high,outstanding,strong,low,devops engineer
medicine,advanced,flexible,phd,leader,intuitive,high,poor,collaborative,high,bioinformatics scientist
art,advanced,flexible,high school,doer,logical,high,outstanding,moderate,low,database administrator
medicine,intermediate,remote,masters,introvert,creative,very high,excellent,strong,medium,technical writer
technology,advanced,flexible,high school,leader,creative,high,excellent,collaborative,medium,automation engineer
science,expert,team,phd,leader,logical,very high,excellent,moderate,low,ui/ux designer
business,beginner,team,diploma,thinker,practical,low,excellent,collaborative,high,virtual reality developer
business,intermediate,flexible,high school,leader,logical,high,outstanding,moderate,exceptional,product manager
medicine,advanced,solo,diploma,thinker,analytical,low,excellent,visionary,very high,speech recognition specialist
technology,expert,office,phd,doer,intuitive,high,outstanding,moderate,very high,nlp engineer
technology,advanced,solo,high school,introvert,analytical,high,average,collaborative,low,devops engineer
science,advanced,remote,bachelors,extrovert,analytical,high,fluent,collaborative,medium,speech recognition specialist
business,expert,team,high school,thinker,practical,high,average,strong,high,ml engineer
science,beginner,team,masters,extrovert,creative,high,fluent,collaborative,very high,business analyst
technology,advanced,team,masters,leader,creative,high,average,moderate,exceptional,speech recognition specialist
medicine,beginner,solo,phd,extrovert,intuitive,low,average,collaborative,exceptional,deep learning engineer
medicine,expert,office,phd,leader,creative,medium,outstanding,visionary,very high,robotics engineer
science,advanced,remote,high school,thinker,creative,very high,outstanding,visionary,exceptional,research scientist
technology,intermediate,team,diploma,leader,creative,very high,excellent,visionary,medium,ai researcher
technology,advanced,team,phd,thinker,intuitive,medium,outstanding,collaborative,very high,business analyst
science,intermediate,solo,masters,extrovert,logical,medium,poor,collaborative,very high,system architect
technology,intermediate,solo,masters,thinker,practical,high,outstanding,strong,low,network engineer
science,intermediate,office,bachelors,leader,logical,low,excellent,collaborative,very high,ui/ux designer
technology,advanced,office,masters,introvert,practical,medium,average,strong,medium,computer vision engineer
art,beginner,solo,diploma,leader,intuitive,high,fluent,collaborative,very high,hardware engineer
art,advanced,remote,diploma,extrovert,analytical,low,average,collaborative,very high,computer vision engineer
technology,expert,office,phd,introvert,logical,high,average,collaborative,very high,site reliability engineer
art,intermediate,solo,high school,leader,logical,high,average,strong,high,network engineer
technology,intermediate,remote,high school,thinker,creative,high,outstanding,moderate,medium,data analyst
medicine,intermediate,remote,high school,thinker,creative,high,excellent,strong,medium,qa engineer
medicine,beginner,remote,phd,thinker,creative,high,fluent,collaborative,high,research scientist
technology,advanced,office,masters,extrovert,analytical,medium,average,collaborative,low,robotics engineer
art,expert,team,bachelors,extrovert,practical,low,poor,moderate,very high,cybersecurity analyst
medicine,beginner,solo,phd,leader,logical,low,fluent,strong,medium,database administrator
art,expert,office,bachelors,doer,analytical,high,poor,visionary,medium,qa engineer
technology,advanced,flexible,bachelors,doer,creative,low,outstanding,moderate,low,network engineer
science,intermediate,team,high school,thinker,intuitive,high,poor,strong,medium,game developer
technology,beginner,team,diploma,leader,creative,high,outstanding,collaborative,high,ai researcher
science,advanced,remote,bachelors,introvert,analytical,low,poor,collaborative,medium,algorithm engineer
art,beginner,solo,high school,thinker,logical,high,outstanding,collaborative,very high,solutions architect
technology,advanced,flexible,masters,extrovert,logical,high,fluent,visionary,low,data analyst
medicine,beginner,team,high school,introvert,practical,high,outstanding,collaborative,very high,hardware engineer
business,expert,flexible,bachelors,doer,creative,high,outstanding,strong,very high,computer vision engineer
technology,advanced,flexible,phd,extrovert,analytical,high,excellent,moderate,low,solutions architect
medicine,expert,remote,diploma,introvert,creative,high,fluent,collaborative,exceptional,data scientist
business,expert,office,diploma,doer,logical,high,poor,visionary,exceptional,web developer
science,advanced,team,phd,leader,practical,medium,average,collaborative,medium,network engineer
technology,expert,remote,high school,doer,intuitive,high,excellent,moderate,exceptional,blockchain developer
science,expert,flexible,high school,doer,logical,high,excellent,collaborative,exceptional,mobile app developer
science,intermediate,office,high school,doer,analytical,medium,fluent,visionary,exceptional,network engineer
art,beginner,remote,phd,introvert,analytical,very high,poor,strong,exceptional,deep learning engineer
business,advanced,remote,high school,thinker,practical,medium,outstanding,strong,exceptional,nlp engineer
technology,advanced,remote,diploma,thinker,logical,high,outstanding,visionary,exceptional,devops engineer
medicine,expert,solo,diploma,introvert,logical,very high,average,moderate,high,cybersecurity analyst
art,expert,flexible,diploma,thinker,intuitive,high,excellent,collaborative,medium,embedded systems engineer
art,expert,remote,masters,introvert,creative,high,fluent,collaborative,very high,technical writer
science,expert,flexible,high school,leader,analytical,very high,average,strong,low,automation engineer
science,beginner,office,bachelors,doer,creative,very high,outstanding,visionary,medium,algorithm engineer
technology,expert,remote,phd,introvert,intuitive,low,excellent,collaborative,exceptional,hardware engineer
business,intermediate,team,high school,introvert,analytical,very high,excellent,collaborative,exceptional,computer vision engineer
medicine,advanced,office,bachelors,doer,intuitive,very high,excellent,visionary,medium,full stack developer
science,advanced,flexible,high school,leader,analytical,high,average,moderate,medium,automation engineer
art,intermediate,remote,masters,leader,practical,very high,poor,collaborative,exceptional,qa engineer
science,intermediate,office,masters,leader,creative,medium,poor,collaborative,high,virtual reality developer
business,expert,team,masters,introvert,logical,very high,average,collaborative,high,computer vision engineer
science,beginner,office,masters,thinker,logical,medium,outstanding,collaborative,low,devops engineer
business,intermediate,flexible,phd,thinker,practical,high,excellent,strong,low,data analyst
medicine,intermediate,solo,phd,thinker,creative,medium,excellent,strong,medium,ml engineer
technology,intermediate,team,high school,thinker,analytical,medium,fluent,moderate,exceptional,game developer
technology,expert,flexible,high school,introvert,practical,very high,poor,collaborative,medium,deep learning engineer
business,advanced,flexible,masters,introvert,intuitive,high,outstanding,moderate,exceptional,site reliability engineer
business,intermediate,solo,high school,extrovert,creative,medium,average,moderate,low,augmented reality developer
medicine,advanced,remote,diploma,extrovert,intuitive,low,average,collaborative,exceptional,embedded systems engineer
technology,beginner,office,phd,introvert,intuitive,high,poor,strong,medium,speech recognition specialist
art,advanced,solo,phd,extrovert,intuitive,medium,outstanding,strong,low,devops engineer
science,advanced,team,phd,thinker,logical,high,fluent,collaborative,low,robotics engineer
technology,advanced,office,phd,leader,analytical,high,average,collaborative,very high,research scientist
technology,intermediate,office,masters,introvert,logical,very high,fluent,visionary,medium,web developer
medicine,advanced,remote,phd,doer,logical,low,outstanding,strong,very high,embedded systems engineer
medicine,advanced,flexible,bachelors,introvert,creative,high,outstanding,collaborative,medium,system architect
science,advanced,flexible,diploma,introvert,intuitive,high,poor,visionary,very high,deep learning engineer
technology,expert,solo,diploma,introvert,practical,low,excellent,collaborative,exceptional,research scientist
science,expert,office,diploma,introvert,creative,very high,excellent,strong,medium,nlp engineer
science,advanced,team,masters,thinker,intuitive,high,excellent,visionary,high,data analyst
medicine,beginner,flexible,phd,extrovert,practical,very high,average,collaborative,low,virtual reality developer
medicine,expert,team,masters,thinker,logical,high,poor,collaborative,exceptional,product manager
medicine,advanced,team,diploma,extrovert,logical,high,poor,collaborative,exceptional,computer vision engineer
medicine,beginner,office,high school,doer,intuitive,very high,fluent,strong,high,virtual reality developer
art,advanced,remote,masters,introvert,analytical,medium,outstanding,collaborative,medium,database administrator
science,advanced,solo,bachelors,doer,creative,high,fluent,collaborative,low,iot specialist
business,expert,office,phd,doer,practical,high,average,visionary,exceptional,augmented reality developer
technology,advanced,solo,diploma,doer,practical,high,fluent,collaborative,very high,qa engineer
art,expert,solo,high school,thinker,creative,high,excellent,collaborative,low,automation engineer
medicine,advanced,remote,diploma,extrovert,practical,medium,excellent,strong,low,web developer
business,expert,office,high school,extrovert,logical,high,average,collaborative,exceptional,automation engineer
technology,beginner,team,high school,introvert,logical,medium,outstanding,strong,medium,software engineer
technology,advanced,flexible,high school,leader,creative,low,excellent,moderate,very high,data scientist
technology,beginner,solo,high school,leader,practical,high,average,collaborative,exceptional,technical writer
business,advanced,flexible,phd,extrovert,analytical,high,fluent,collaborative,high,system architect
technology,beginner,office,diploma,introvert,logical,high,average,visionary,exceptional,devops engineer
business,advanced,flexible,diploma,introvert,practical,high,excellent,moderate,exceptional,devops engineer
science,advanced,flexible,high school,thinker,intuitive,low,average,visionary,medium,business analyst
technology,advanced,flexible,bachelors,thinker,creative,very high,fluent,collaborative,exceptional,game developer
technology,advanced,remote,phd,doer,intuitive,low,poor,strong,low,product manager
art,advanced,remote,phd,doer,analytical,high,poor,collaborative,medium,data analyst
art,expert,remote,phd,extrovert,analytical,high,outstanding,strong,very high,business analyst
technology,expert,solo,high school,doer,analytical,very high,excellent,visionary,high,ui/ux designer
business,advanced,remote,diploma,leader,intuitive,very high,average,strong,high,virtual reality developer
business,intermediate,flexible,bachelors,thinker,practical,medium,fluent,collaborative,low,site reliability engineer
business,advanced,office,phd,leader,creative,high,fluent,strong,medium,computer vision engineer
science,advanced,office,diploma,introvert,creative,high,average,collaborative,exceptional,system architect
business,intermediate,team,high school,introvert,creative,very high,excellent,collaborative,very high,technical writer
medicine,intermediate,flexible,phd,doer,creative,very high,outstanding,collaborative,exceptional,ml engineer
science,advanced,flexible,diploma,introvert,practical,high,fluent,moderate,high,bioinformatics scientist
science,expert,office,phd,extrovert,intuitive,medium,poor,strong,medium,nlp engineer
art,advanced,office,diploma,doer,logical,high,poor,strong,low,data scientist
medicine,expert,remote,phd,introvert,analytical,high,fluent,visionary,high,computer vision engineer
